,Arrondissement,Année,Population,Superficie,Density,Country
0,75001,1999,16888.0,1.83,9228.415300546449,France
1,75002,1999,19585.0,0.99,19782.828282828283,France
2,75003,1999,34248.0,1.17,29271.794871794875,France
3,75004,1999,30675.0,1.6,19171.875,France
4,75005,1999,58849.0,2.54,23168.897637795275,France
5,75006,1999,44919.0,2.15,20892.558139534885,France
6,75007,1999,56985.0,4.09,13932.762836185819,France
7,75008,1999,39314.0,3.88,10132.474226804125,France
8,75009,1999,55838.0,2.18,25613.761467889908,France
9,75010,1999,89612.0,2.89,31007.612456747403,France
10,75011,1999,149931.0,3.67,40853.13351498637,France
11,75012,1999,136591.0,6.37,21442.85714285714,France
12,75013,1999,171533.0,7.15,23990.62937062937,France
13,75014,1999,132844.0,5.64,23553.90070921986,France
14,75015,1999,225467.0,8.48,26588.08962264151,France
15,75016,1999,161773.0,7.91,20451.706700379265,France
16,75017,1999,161138.0,5.67,28419.400352733686,France
17,75018,1999,184586.0,6.01,30713.14475873544,France
18,75019,1999,172730.0,6.79,25438.880706921944,France
19,75020,1999,182952.0,5.98,30593.979933110364,France
20,75001,2006,17745.0,1.83,9696.721311475409,France
21,75002,2006,21259.0,0.99,21473.737373737375,France
22,75003,2006,34721.0,1.17,29676.06837606838,France
23,75004,2006,29138.0,1.6,18211.25,France
24,75005,2006,61475.0,2.54,24202.75590551181,France
25,75006,2006,45278.0,2.15,21059.53488372093,France
26,75007,2006,56612.0,4.09,13841.56479217604,France
27,75008,2006,39088.0,3.88,10074.226804123711,France
28,75009,2006,58497.0,2.18,26833.486238532107,France
29,75010,2006,92082.0,2.89,31862.28373702422,France
30,75011,2006,152436.0,3.67,41535.69482288828,France
31,75012,2006,141519.0,6.37,22216.483516483517,France
32,75013,2006,178716.0,7.15,24995.244755244756,France
33,75014,2006,134370.0,5.64,23824.468085106386,France
34,75015,2006,232949.0,8.48,27470.400943396224,France
35,75016,2006,153920.0,7.91,19458.912768647282,France
36,75017,2006,161327.0,5.67,28452.73368606702,France
37,75018,2006,192042.0,6.01,31953.743760399335,France
38,75019,2006,186180.0,6.79,27419.734904270987,France
39,75020,2006,195303.0,5.98,32659.36454849498,France
80,75001,2017,16395.0,1.83,8959.016393442622,France
81,75002,2017,21042.0,0.99,21254.545454545456,France
82,75003,2017,34389.0,1.17,29392.307692307695,France
83,75004,2017,28370.0,1.6,17731.25,France
84,75005,2017,59631.0,2.54,23476.771653543306,France
85,75006,2017,41976.0,2.15,19523.720930232557,France
86,75007,2017,52193.0,4.09,12761.124694376529,France
87,75008,2017,37368.0,3.88,9630.927835051547,France
88,75009,2017,60071.0,2.18,27555.50458715596,France
89,75010,2017,90836.0,2.89,31431.14186851211,France
90,75011,2017,147470.0,3.67,40182.56130790191,France
91,75012,2017,141287.0,6.37,22180.06279434851,France
92,75013,2017,183399.0,7.15,25650.20979020979,France
93,75014,2017,136941.0,5.64,24280.31914893617,France
94,75015,2017,235178.0,8.48,27733.25471698113,France
95,75016,2017,168554.0,7.91,21308.97597977244,France
96,75017,2017,168737.0,5.67,29759.611992945327,France
97,75018,2017,196131.0,6.01,32634.109816971715,France
98,75019,2017,188066.0,6.79,27697.496318114874,France
99,75020,2017,196739.0,5.98,32899.4983277592,France
