,1er,2e,3e,4e,5e,6e,7e,8e,9e,10e,11e,12e,13e,14e,15e,16e,17e,18e,19e,20e,Quarter,Year
0,12 840 ,11 250 ,12 260 ,12 790 ,12 140 ,14 180 ,13 230 ,11 240 ,10 730 ,9 730 ,9 980 ,9 310 ,9 060 ,10 170 ,10 030 ,10 680 ,10 210 ,9 360 ,8 490 ,8 560 ,T3,2019
1,12 520 ,11 860 ,11 970 ,12 610 ,11 880 ,13 850 ,12 850 ,11 180 ,10 410 ,9 640 ,9 850 ,8 980 ,8 660 ,10 050 ,9 790 ,10 470 ,10 110 ,9 110 ,8 250 ,8 380 ,T2,2019
2,12 020 ,11 630 ,11 430 ,12 710 ,11 530 ,13 740 ,12 870 ,11 130 ,10 020 ,9 430 ,9 580 ,8 740 ,8 690 ,9 590 ,9 580 ,10 370 ,9 950 ,8 860 ,8 370 ,8 220 ,T1,2019
3,12 060 ,11 200 ,11 880 ,13 050 ,11 390 ,13 330 ,12 680 ,10 840 ,9 880 ,9 160 ,9 360 ,8 800 ,8 600 ,9 540 ,9 520 ,10 300 ,9 880 ,8 720 ,8 000 ,8 080 ,T4,2018
4,12 780 ,11 360 ,11 300 ,12 750 ,11 800 ,13 000 ,12 350 ,10 590 ,10 150 ,8 860 ,9 590 ,8 710 ,8 610 ,9 350 ,9 360 ,10 060 ,9 610 ,8 880 ,7 800 ,8 230 ,T3,2018
5,12 270 ,11 250 ,11 150 ,12 340 ,11 290 ,12 640 ,12 310 ,9 900 ,10 020 ,8 840 ,9 210 ,8 650 ,8 330 ,9 440 ,9 180 ,9 850 ,9 420 ,8 570 ,7 720 ,7 930 ,T2,2018
6,12 050 ,11 120 ,11 020 ,11 860 ,11 420 ,12 600 ,11 810 ,10 000 ,9 580 ,8 460 ,9 020 ,8 330 ,8 250 ,8 970 ,8 990 ,9 590 ,9 340 ,8 300 ,7 340 ,7 730 ,T1,2018
7,11 560 ,10 890 ,11 170 ,11 540 ,11 100 ,12 360 ,11 530 ,9 900 ,9 560 ,8 510 ,9 000 ,8 330 ,8 250 ,9 080 ,9 170 ,9 730 ,9 120 ,8 280 ,7 360 ,7 770 ,T4,2017
8,11 380 ,10 590 ,11 020 ,11 840 ,11 210 ,12 020 ,11 980 ,10 000 ,9 450 ,8 430 ,8 940 ,8 370 ,8 280 ,8 710 ,9 040 ,9 480 ,9 080 ,8 320 ,7 050 ,7 610 ,T3,2017
9,11 060 ,10 080 ,10 310 ,11 990 ,11 010 ,12 090 ,11 690 ,9 910 ,9 260 ,8 150 ,8 680 ,8 080 ,8 090 ,8 880 ,8 710 ,9 320 ,8 820 ,7 770 ,6 940 ,7 200 ,T2,2017
